birth_place,discipline,Count
"WASHINGTON, DC",Triathlon,3
CHRISTCHURCH,Rowing,3
CAMARTHEN,Cycling Track,3
"WODONGA, VIC",Swimming,3
WORCESTER,Swimming,3
ZAGREB,Water Polo,3
AARHUS,Handball,3
KARLSTAD,Curling,3
DNIPRO,Athletics,3
DONETSK,Artistic Swimming,3
GRODNO,Biathlon,3
CAMPULUNG MOLDOVENESC,Rowing,3
"BRISBANE, QLD",Water Polo,3
ANSHAN,Artistic Gymnastics,3
MAIDSTONE,Cycling Track,3
MANCHESTER,Triathlon,3
ANSHAN,Table Tennis,3
SAMARA,Fencing,3
"MELBOURNE, VIC",Basketball,3
"LOS ANGELES, CA",Water Polo,3
"MELBOURNE, VIC",Rowing,3
"MODESTO, CA",Swimming,3
MONTPELLIER,Table Tennis,3
"MORRISTOWN, NJ",Swimming,3
BELGRADE,3x3 Basketball,3
BELGRADE,Basketball,3
MOSCOW,Fencing,3
CAPE TOWN,Rugby Sevens,3
CHRISTCHURCH,Cycling Track,3
HONG KONG,Swimming,3
MOSCOW,Swimming,3
KURUME,Judo,3
MOSCOW,Tennis,3
NAPLES,Rowing,3
"CLEVELAND, OH",Fencing,3
CARPI,Swimming,3
"NEW YORK, NY",Athletics,3
HAMILTON,Rowing,3
"NEWPORT BEACH, CA",Water Polo,3
NIJVERDAL,Cycling Track,3
NIZAO,Athletics,3
NOVI SAD,Water Polo,3
NOVOTROITSK,Swimming,3
OBERSTDORF,Nordic Combined,3
OBERSTDORF,Ski Jumping,3
"OCALA, FL",Speed Skating,3
BERCHTESGADEN,Luge,3
OITA,Baseball/Softball,3
OKCHEON,Archery,3
OMSK,Shooting,3
PARIS,Basketball,3
AUCKLAND,Cycling Track,3
"PHOENIX, AZ",Artistic Gymnastics,3
COPENHAGEN,Handball,3
PLYMOUTH,Diving,3
PONTE SAN PIETRO,Cycling Track,3
"PORT CHARLOTTE, FL",Shooting,3
CORDOBA,Rugby Sevens,3
PORTO ALEGRE,Judo,3
"CHARLESTON, SC",Athletics,3
BERLIN,Canoe Sprint,3
FALUN,Cross-Country Skiing,3
RAETIHI,Rowing,3
BUFF BAY,Athletics,2
ITARIRI,Judo,2
DUMFRIES,Curling,2
AACHEN,Luge,2
HERENTALS,Cycling Road,2
KATWIJK AAN ZEE,Swimming,2
"DUNCRAIG, WA",Swimming,2
KOSZALIN,Athletics,2
KOTHEN,Hockey,2
GORI,Judo,2
ZELLA-MEHLIS,Cross-Country Skiing,2
GORI,Wrestling,2
ZHANJIANG,Diving,2
"GOSFORD, NSW",Athletics,2
LEAMINGTON SPA,Equestrian,2
KAZAN,Figure Skating,2
GOSPORT,Rowing,2
AALST,Cycling Road,2
"AKRON, OH",Basketball,2
GOTHENBURG,Curling,2
BUSAN,Judo,2
ALBERTVILLE,Biathlon,2
KRAKOW,Rowing,2
"LONDON, ON",Athletics,2
LEEDS,Cycling Mountain Bike,2
BYDGOSZCZ,Athletics,2
HIKONE,Swimming,2
CACAK,Basketball,2
CADCA,Ice Hockey,2
ECHIZEN,Fencing,2
IWAMIZAWA,Badminton,2
ALMATY,Fencing,2
"GRAND RAPIDS, MI",Basketball,2
ALMATY,Shooting,2
CAGNES-SUR-MER,Volleyball,2
IXELLES,Basketball,2
LLERENA,Athletics,2
