birth_place,discipline,Count
DELFT,Hockey,1
DELSBO,Cross-Country Skiing,1
DEN HORN,Rowing,1
"DENVER, CO",Football,1
"DENVER, CO",Swimming,1
"DENVER, CO",Tennis,1
"DETROIT, MI",Baseball/Softball,1
"DETROIT, MI",Swimming,1
"DIBRA, HARYANA",Hockey,1
DIJON,3x3 Basketball,1
DIJON,Fencing,1
DILLENBURG,Bobsleigh,1
"DILLON, SC",Athletics,1
DNIPROPETROVSK,Ice Hockey,1
DOBELE,Weightlifting,1
DOBRICH,Boxing,1
DOFTEANA,Weightlifting,1
DOHA,Beach Volleyball,1
DOIS RIACHOS,Football,1
DORTMUND,Bobsleigh,1
"DOUSMAN, WI",Ice Hockey,1
"DOVER, NH",Diving,1
"DOWNERS GROVE, IL",Ice Hockey,1
DRACHTEN,Rowing,1
DRESDEN,Canoe Sprint,1
DRESDEN,Diving,1
DREUX,Rugby Sevens,1
DREZDENKO,Athletics,1
DUBLIN,Artistic Gymnastics,1
DUBLIN,Boxing,1
DUBLIN,Rowing,1
DUISBURG,Rowing,1
DUNAUJVAROS,Canoe Sprint,1
DUNAUJVAROS,Water Polo,1
DUNEDIN,Athletics,1
DUNEDIN,Canoe Slalom,1
DUNEDIN,Rowing,1
DUNEDIN,Rugby Sevens,1
DUNGUN,Cycling Track,1
DUNKIRK,Basketball,1
DURBAN,Cycling Mountain Bike,1
DURBAN,Golf,1
DURBAN,Tennis,1
DUSHANBE,Boxing,1
DUSSELDORF,Hockey,1
EAST LONDON,Athletics,1
EBERSBERG,Artistic Gymnastics,1
ECHICHENS,Cycling BMX Racing,1
EDE,Rowing,1
EDE,Skeleton,1
EDEGEM,Hockey,1
"EDINA, MN",Swimming,1
"EDINA, MN",Volleyball,1
"EDMONTON, AB",Bobsleigh,1
"EDMONTON, AB",Football,1
EHIME,Golf,1
EIBAR,Football,1
EISENACH,Handball,1
EISENSTADT,Ice Hockey,1
EL ASTILLERO,Handball,1
EL CAMPILLO,Football,1
EL CARMELO,Cycling Road,1
EL PALMAR,Tennis,1
ELCHE,Football,1
ELEKTROSTAL,Diving,1
ELIZONDO,Football,1
"ELKHART, IN",Volleyball,1
ELS HOSTALETS DE PIEROLA,Football,1
ENFIELD,Athletics,1
EPINAL,Biathlon,1
EPINAY-SUR-SEINE,Taekwondo,1
ERBACH,Table Tennis,1
"ERIE, PA",Baseball/Softball,1
"ERLANGER, KY",Freestyle Skiing,1
ESFAHAN,Taekwondo,1
ESPINOSA,Beach Volleyball,1
ESPLUGES LLOBREGAT,Water Polo,1
ESPOO,Ice Hockey,1
ESPOSENDE,Canoe Sprint,1
ESSEN,3x3 Basketball,1
ESTANYOL,Football,1
EUPEN,Football,1
EUSKIRCHEN,Handball,1
"EVERGREEN PARK, IL",Ice Hockey,1
EVRY,Cross-Country Skiing,1
"EXCELSIOR, MN",Ice Hockey,1
"EXETER, NH",Swimming,1
"FAIRBANKS, AK",Freestyle Skiing,1
FALKOPING,Football,1
FALUN,Cycling Mountain Bike,1
FANTINO,Baseball/Softball,1
"FARMINGTON, MI",Ice Hockey,1
FARNBOROUGH,Athletics,1
FASANO,Shooting,1
"FAYETTEVILLE, NC",Rugby Sevens,1
FECAMP,Rugby Sevens,1
FELDBACH,Sailing,1
FENGCHENG,Wrestling,1
FERRARA,Rowing,1
FIRMINY,Handball,1
"FITZROY, VIC",Snowboard,1
FLAWIL,Sailing,1
FLENSBURG,Handball,1
"FLINT, MI",Basketball,1
FLORENCE,Marathon Swimming,1
FLORENCE,Shooting,1
FLORIANOPOLIS,Skateboarding,1
"FLUSHING, NY",Basketball,1
FOCSANI,Artistic Gymnastics,1
FORMOSA,Volleyball,1
"FORT COLLINS, CO",Cycling Mountain Bike,1
"FORT COLLINS, CO",Cycling Track,1
"FORT SASKATCHEWAN, AB",Ice Hockey,1
"FORT WORTH, TX",Shooting,1
"FORT-DE-FRANCE, MARTINIQUE",Basketball,1
"FOUNTAIN VALLEY, CA",Water Polo,1
FRANKFURT,Equestrian,1
FRAUENFELD,Snowboard,1
"FREMONT, CA",Figure Skating,1
"FRESNO, CA",Athletics,1
"FRESNO, CA",Football,1
"FRISCO, TX",Football,1
FRUTAL,Volleyball,1
"FT. WAYNE, IN",Freestyle Skiing,1
FUEFUKI,Wrestling,1
FUJIAN,Artistic Gymnastics,1
FUJISAWA,Baseball/Softball,1
FUKUOKA,Equestrian,1
FUNABASHI,Artistic Gymnastics,1
FURTWANGEN,Freestyle Skiing,1
FURTWANGEN,Nordic Combined,1
FUSHUN,Freestyle Skiing,1
FUSHUN,Short Track Speed Skating,1
FUSHUN,Table Tennis,1
FUZHOU,Trampoline Gymnastics,1
G?PPINGEN,Football,1
G?RLITZ,Athletics,1
GALLARATE,Weightlifting,1
GALTEN,Handball,1
GANGWON,Shooting,1
GARINOAIN,Football,1
GASSIN,Football,1
GATESHEAD,Rowing,1
GAVRILOV-YAM,Swimming,1
"GEELONG, VIC",Shooting,1
GELDROP,Hockey,1
GELENDZHIK,Beach Volleyball,1
GENERAL ALVEAR,Volleyball,1
GENEVA,Swimming,1
"GENEVA, IL",Volleyball,1
GENNEVILLIERS,Football,1
GENOA,Karate,1
GENOA,Water Polo,1
"GEORGETOWN, ON",Ice Hockey,1
"GERMANTOWN HILLS, IL",Swimming,1
"GERMANTOWN, TN",Triathlon,1
GERMERSHEIM,Football,1
GHENT,Cycling Track,1
GHENT,Hockey,1
GIESSEN,Athletics,1
GIFU,Snowboard,1
GIJON,Handball,1
GIJON,Tennis,1
"GILBERT, AZ",Artistic Gymnastics,1
"GILBERT, AZ",Baseball/Softball,1
GISBORNE,Basketball,1
GIZYCKO,Volleyball,1
"GLADSTONE, QLD",Cycling BMX Freestyle,1
"GLEN ELLYN, IL",Speed Skating,1
"GLENVIEW, IL",Swimming,1
GLOSTRUP,Handball,1
GOKSUN,Shooting,1
GOL,Cross-Country Skiing,1
GOLD COAST,Cycling BMX Racing,1
"GOLD COAST, QLD",Sailing,1
GOMEL,Weightlifting,1
GOMEZ PALACIO,Football,1
GONAIVES,Athletics,1
GORANBOY,Wrestling,1
GORKI,Speed Skating,1
"GOSFORD, NSW",Canoe Sprint,1
"GOSHEN, NY",3x3 Basketball,1
GOUDA,Hockey,1
GOUDA,Rowing,1
GOUDA,Water Polo,1
GOVERNADOR VALADARES,Football,1
"GOYCHAY, ALXASAVA",Judo,1
GRAHAMSTOWN,Rugby Sevens,1
"GRAND RAPIDS, MI",Rugby Sevens,1
GRANDE-SYNTHE,Boxing,1
GRANGE,Swimming,1
"GRANGER, IN",Wrestling,1
GRANOLLERS,Artistic Swimming,1
GRANVILLE,Football,1
GRAVEDONA,Rowing,1
GRAVENZANDE,Speed Skating,1
GRAVESEND,Modern Pentathlon,1
"GRAYSLAKE, IL",Football,1
"GREENWOOD, SC",3x3 Basketball,1
GRENOBLE,Volleyball,1
GRIBSKOV,Handball,1
GRODNO,Volleyball,1
GRUMO APPULA,Athletics,1
GUADALAJARA,Football,1
GUANGDONG,Artistic Gymnastics,1
GUANGDONG,Badminton,1
GUANGDONG,Diving,1
GUANGDONG,Tennis,1
GUANGXI,Wrestling,1
GUANGZHOU,Diving,1
GUANGZHOU,Golf,1
GUANGZHOU,Wrestling,1
GUANTANAMO,Canoe Sprint,1
GUARULHOS,Football,1
GUATEMALA,Shooting,1
GUDMUNDRA PARISH,Freestyle Skiing,1
"GUELPH, ON",Baseball/Softball,1
"GUELPH, ON",Freestyle Skiing,1
GUIDING,Boxing,1
GUILDFORD,Canoe Sprint,1
GUILDFORD,Rowing,1
GUILIN,Weightlifting,1
GUIZHOU,Diving,1
GUIZHOU,Shooting,1
GURA HUMORULUI,Rowing,1
GUSEV,3x3 Basketball,1
GWANGJU,Badminton,1
GYERONG,Fencing,1
GYUMRI,Boxing,1
GYUMRI,Weightlifting,1
HAAG,Sport Climbing,1
HACHIMANTAI,Nordic Combined,1
"HACKENSACK, NJ",Artistic Gymnastics,1
"HAGERSTOWN, MD",Wrestling,1
HAITANG,Weightlifting,1
"HALIFAX, NS",Canoe Sprint,1
"HALIFAX, NS",Ice Hockey,1
HALL,Luge,1
HALLAND,Football,1
HALLUM,Speed Skating,1
HAMAMATSU,Athletics,1
HAMAMATSU,Baseball/Softball,1
HAMBURG,Judo,1
HAMBURG,Rowing,1
HAMBURG,Tennis,1
"HAMDEN, CT",Athletics,1
HAMEENLINNA,Ice Hockey,1
HAMILTON,Boxing,1
HAMILTON,Freestyle Skiing,1
HAMILTON,Rugby Sevens,1
"HAMILTON, ON",Fencing,1
"HAMILTON, ON",Ice Hockey,1
HAMM,Athletics,1
HAMM,Football,1
HAMMERSMITH,Rowing,1
HANAU,Swimming,1
HANGUL,Taekwondo,1
HANGZHOU,Badminton,1
HANGZHOU,Rhythmic Gymnastics,1
HANNOVER,Handball,1
HANNOVERSCH MUENDEN,Football,1
HANNQOVER,Handball,1
"HAPPY VALLEY, SA",Basketball,1
HARBIN,Figure Skating,1
HARFLEUR,Sailing,1
"HARRISBURG, PA",Basketball,1
HARROGATE,Artistic Gymnastics,1
HASSELT,Cycling Road,1
HASSELT,Rowing,1
HASSFURT,Football,1
HAULERWIJK,Rowing,1
HAVANA,Baseball/Softball,1
HAVANA,Wrestling,1
HAWAII,Volleyball,1
HEERHUGOWAARD,Athletics,1
HEILBRONN,Handball,1
HEILONGJIANG,Table Tennis,1
HELSINGBORG,Football,1
HEMEL HEMPSTEAD,Artistic Gymnastics,1
HEMEL HEMPTSTEAD,Cycling Road,1
HENAN,Karate,1
HENGSHUI,Rowing,1
HERDECKE,Rowing,1
HERENT,Speed Skating,1
HERFORD,Athletics,1
HERMOSILLO,Archery,1
HERMOSILLO,Football,1
HERNING,Handball,1
"HERSTON, QLD",Water Polo,1
HIDAKA,Basketball,1
HIGASHIMURAYAMA,Basketball,1
HIGASHIYAMATO,Baseball/Softball,1
HIGUEY,Boxing,1
HILDESHEIM,Cycling Track,1
HILLINGDON,Rowing,1
HIMEJI,Judo,1
HIROSHIMA,Baseball/Softball,1
HIROSHIMA,Sailing,1
"HOBART, TAS",Basketball,1
"HOBART, TAS",Hockey,1
HOBOKEN,Football,1
HODONIN,Athletics,1
"HOFFMAN ESTATES, IL",Water Polo,1
HOJE-TAASTRUP,Handball,1
HOKKAIDO,Curling,1
HOLBAEK,Handball,1
"HOLETA, OROMIA",Athletics,1
HOLGUIN,Shooting,1
HOLON,Judo,1
"HOMER, AK",Cycling Road,1
"HOMER, AK",Cycling Track,1
HONG KONG,Rugby Sevens,1
"HONOLULU, HI",Surfing,1
HOOFDDORP,Sailing,1
HORSENS,Handball,1
"HOUSTON, TX",Swimming,1
HUAI'AN,Artistic Swimming,1
HUAI'AN,Swimming,1
HUALIEN,Boxing,1
HUBEI,Weightlifting,1
HUDDERSFIELD,Diving,1
HUDDERSFIELD,Equestrian,1
HUDDERSFIELD,Taekwondo,1
HUIXIAN,Breaking,1
HUIZEN,Hockey,1
HUKUNTSI,Athletics,1
HULUNBEIER,Rowing,1
HUNAN,Artistic Gymnastics,1
HUNAN,Badminton,1
HUNAN,Diving,1
HUNAN,Trampoline Gymnastics,1
"HUNTERSVILLE, NC",Baseball/Softball,1
HUNTINGDON,Sailing,1
"HUNTINGTON BEACH, CA",Football,1
HUY,Equestrian,1
HWASUN,Boxing,1
HYDERABAD,Badminton,1
"Hong Kong, China",Cycling Track,1
"Hong Kong, China",Fencing,1
"Hong Kong, China",Table Tennis,1
IBARRA,Athletics,1
IBRAGIMOTAR,Boxing,1
ICHIKAWA,Basketball,1
ICHINOMIYA,Figure Skating,1
IGUACU,Rowing,1
IGUAPE,Judo,1
IHRINGEN,Rowing,1
IKAALINEN,Cross-Country Skiing,1
IKEDA TOWN,Freestyle Skiing,1
IMPHAL,Hockey,1
IMPHAL,Weightlifting,1
INCHEON,Fencing,1
INCHEON,Taekwondo,1
"INDIANAPOLIS, IN",Athletics,1
"INDIANAPOLIS, IN",Diving,1
"INDIANAPOLIS, IN",Swimming,1
"INGERSOLL, ON",Ice Hockey,1
"INGLEWOOD, CA",Athletics,1
INNSBRUCK,Sport Climbing,1
INTERLAKEN,Freestyle Skiing,1
INVERCARGILL,Cycling Track,1
INVERCARGILL,Rowing,1
"IPSWICH, QLD",Tennis,1
IRAPUATO,Football,1
IRKUTSK,Judo,1
IRKUTSK,Shooting,1
"IRON MOUNTAIN, MI",Diving,1
"IRON RIVER, MI",Snowboard,1
IRPEN,Wrestling,1
ISERNIA,Judo,1
ISHIGAKI,Baseball/Softball,1
ISLE OF MAN,Equestrian,1
ISOLA DELLA SCALA,Cycling Track,1
ISTANBUL,Archery,1
ISTMINA,Weightlifting,1
ITAMI,Baseball/Softball,1
ITARSI,Hockey,1
ITEN,Athletics,1
"ITHACA, NY",Wrestling,1
ITOSHIMA,Basketball,1
ITUVERAVA,Football,1
IVANO-FRANKIVSK,Canoe Sprint,1
IVRY-SUR-SEINE,Football,1
IVRY-SUR-SEINE,Handball,1
IWADE,Skateboarding,1
IZOLA,Sailing,1
IZUMI,Baseball/Softball,1
"JACKSONVILLE, FL",Baseball/Softball,1
"JACKSONVILLE, FL",Football,1
JAERNSKOG,Biathlon,1
JAKARTA,Badminton,1
JAMSA,Ice Hockey,1
JANDIRA,Volleyball,1
JAWOR,Volleyball,1
JEFFREYS BAY,Rugby Sevens,1
JEJU,Shooting,1
JELGAVA,3x3 Basketball,1
JEMEPPE-SUR-SAMBRE,Football,1
JEONJU,Short Track Speed Skating,1
"JERSEY CITY, NJ",Football,1
JHAJJAR,Wrestling,1
JI'AN,Athletics,1
JIAMUSI,3x3 Basketball,1
JIAMUSI,Short Track Speed Skating,1
JIANGSU,Badminton,1
JIANGSU PROVINCE,Trampoline Gymnastics,1
JIANGXI,Canoe Sprint,1
JIAXING,Badminton,1
JIHLAVA,Judo,1
JILIN,Shooting,1
JILIN,Short Track Speed Skating,1
JINGDEZHEN,Swimming,1
JINGZHOU,Badminton,1
JINJIANG,Artistic Gymnastics,1
JINJU,Fencing,1
JINPING,Weightlifting,1
JINZHOU,Rowing,1
JINZHOU,Sailing,1
JOAO PESSOA,Football,1
JOENSUU,Ice Hockey,1
JOHANNESBURG,Athletics,1
"JOHNSON CITY, TN",Artistic Gymnastics,1
JUANKOSKI,Ice Hockey,1
JUAZEIRO,Football,1
JYVAESKYLAE,Ice Hockey,1
KAATSHEUVEL,Cycling Track,1
KAGAWA,Wrestling,1
KAISERSLAUTERN,Cycling Track,1
KAISERSLAUTERN,Handball,1
KAKEGAWA,Baseball/Softball,1
"KALISPELL, MT",Figure Skating,1
KALUNDBORG,Shooting,1
"KAMASHI ZONE, BENISHANGUL-GUMUZ",Athletics,1
KAMEOKA,Karate,1
KAMYANETS-PODILSKY,Judo,1
KANAGAWA,Skateboarding,1
"KANATA, ON",Ice Hockey,1
KANOVE,Rhythmic Gymnastics,1
"KANSAS CITY, MO",Athletics,1
KAOHSIUNG,Badminton,1
"KAPRETWA VILLAGE, SABOTI",Athletics,1
KAPSISIYWA,Athletics,1
KAPSOWAR,Athletics,1
KARAJ,Taekwondo,1
KARAMPUR,Hockey,1
KARENG,Athletics,1
KARLOVY VARY,Fencing,1
KARS,Taekwondo,1
KASSEL,Canoe Sprint,1
"KATHERINE, NT",Basketball,1
KATRINEHOLM,Football,1
"KATY, TX",Volleyball,1
KAWAGUCHI,Breaking,1
KAWAKAWA,Rugby Sevens,1
KAZAN,Fencing,1
KAZAN,Ice Hockey,1
KAZINCBARCIKA,Fencing,1
KEDAH,Badminton,1
KEDZIERZYN-KOZLE,Volleyball,1
KEHL,Equestrian,1
KEMPTEN,Cross-Country Skiing,1
"KEMPTON PARK, GAUTENG",Athletics,1
"KENNETCOOK, NS",Boxing,1
KERICHO,Athletics,1
KERICHO COUNTY,Athletics,1
KERIKERI,Sailing,1
KERMANSHAH,Taekwondo,1
KESZTHELY,Shooting,1
KEVELAER,Archery,1
"KEW, VIC",Cycling Track,1
KHABAROVSK,Ice Hockey,1
KHABAROVSK,Shooting,1
KHANEWAL,Athletics,1
KHANIA,Water Polo,1
KHARKIV,Cycling Track,1
KHARKIV,Wrestling,1
KHARTOUM,Athletics,1
KHERSON,Canoe Sprint,1
KHIOS,Water Polo,1
KHOREZM REGION,Judo,1
KHOURIBGA,Football,1
KHUSHTADA,Wrestling,1
KHUSROPUR,Hockey,1
KIEL,Football,1
KIEL,Handball,1
KIEL,Judo,1
KIJIMADAIRA,Nordic Combined,1
KINGSTON UPON THAMES,Rowing,1
KINROSS,Athletics,1
KIRKCALDY,Swimming,1
KISII,Athletics,1
KISKUNHALAS,Athletics,1
KITAKYUSHU,Sailing,1
KITAMI,Curling,1
KIUKAINEN,Ice Hockey,1
KNIN,Basketball,1
KOBE,Equestrian,1
KOBRYN,Volleyball,1
KOCAELI,Karate,1
KOCHI,Wrestling,1
KOKKEDAL,Cycling Track,1
KOLOMNA,Speed Skating,1
KOMENDA,Cycling Road,1
KOMSOMOLSK,Ice Hockey,1
KONAK,Artistic Gymnastics,1
KONAWE,Badminton,1
KOPER,Judo,1
KOSCIERZYN,Athletics,1
KOUDOUGOU,Athletics,1
KRAKOW,Volleyball,1
KRALJEVO,Basketball,1
KRALJEVO,Volleyball,1
KRASNODAR,Handball,1
KRASNODAR,Rhythmic Gymnastics,1
KRASNOTURYINSK,Cross-Country Skiing,1
KRASNOYARSK,Ice Hockey,1
KRASNOYARSK,Shooting,1
KRASNOYARSK,Tennis,1
KREFELD,Equestrian,1
KREFELD,Football,1
KREFELD,Hockey,1
KREFELD,Wrestling,1
KRISTIANSTAD,Football,1
KROTOSZYN,Volleyball,1
KRUHLAYE,Wrestling,1
KRUSEVAC,Taekwondo,1
KRYVYI RIH,Handball,1
KRZYZ WIELKOPOLSKI,Volleyball,1
KUBRAT,Wrestling,1
KULMBACH,Volleyball,1
KUMAMOTO,Badminton,1
KUMAMOTO,Baseball/Softball,1
KUNGSBACKA,Football,1
"KUNSHAN, SUZHOU",Athletics,1
KUOPIO,Ice Hockey,1
KURGAN,Taekwondo,1
KUSHIRO,Speed Skating,1
KUWAIT CITY,Shooting,1
KUZMOLOVSKY,Volleyball,1
KYIV,Athletics,1
KYIV,Judo,1
KYOTO,Baseball/Softball,1
KYOTO,Wrestling,1
KYSUCKE NOVE MESTO,Ice Hockey,1
KYUSTENDIL,Rhythmic Gymnastics,1
"L'ANCIENNE-LORETTE, QC",Football,1
L'HOSPITALET DE LLOBREGAT,Water Polo,1
"LA BAIE, QC",Speed Skating,1
LA CHAUX-DE-FONDS,Shooting,1
LA FEMME,Athletics,1
LA GUAIRA,Weightlifting,1
LA LLAGOSTA,Handball,1
"LA MALBAIE, QC",Ice Hockey,1
LA PAZ,Diving,1
LA PLATA,Rugby Sevens,1
LA RIOJA,Rugby Sevens,1
LA ROCHELLE,Rowing,1
LA SEYNE-SUR-MER,Cycling Road,1
LABASA,Rugby Sevens,1
"LABRADOR CITY, NL",Curling,1
"LAGUNA BEACH, CA",Sailing,1
LAITILA,Ice Hockey,1
"LAKEWOOD, CA",Football,1
"LANCASTER, CA",Baseball/Softball,1
"LANCASTER, PA",Archery,1
"LANCASTER, PA",Football,1
LANGENHAGEN,Equestrian,1
LANGFANG,Table Tennis,1
"LANGLEY, BC",Baseball/Softball,1
"LANGLEY, BC",Rowing,1
LANNEMEZAN,Rugby Sevens,1
"LANSING, MI",Athletics,1
LAPPEENRANTA,Ice Hockey,1
LAS PALMAS DE GRAN CANARIA,Handball,1
"LAS VEGAS, NV",Swimming,1
LASARTE-ORIA,Canoe Slalom,1
LATSCHACH,Alpine Skiing,1
"LAUNCESTON, TAS",Basketball,1
LAUSANNE,Beach Volleyball,1
LAVAUR,Cycling Track,1
LE CHESNAY,Basketball,1
LE CHESNAY,Football,1
LE CHESNAY,Rugby Sevens,1
LE GOSIER,Fencing,1
LE PONT-DE-BEAUVOISIN,Triathlon,1
LE PUY-EN-VELAY,Surfing,1
LECCO,Rowing,1
LEEDS,Cycling Track,1
LEEDS,Diving,1
LEEDS,Rowing,1
LEEDS,Triathlon,1
LEGANES,Artistic Swimming,1
"LEICESTER, ENGLAND",Basketball,1
LEIDEN,Hockey,1
LEIDEN,Speed Skating,1
LEIDERDORP,Rowing,1
LEIDSCHENDAM,Hockey,1
LEIPZIG,Bobsleigh,1
LEIYANG,Sport Climbing,1
LEJRE,Handball,1
LENINKENT,Wrestling,1
LENINOGORSK,Ski Jumping,1
LENINSK-KUZNETSKIY,Artistic Gymnastics,1
"LEONGATHA, VIC",Athletics,1
"LES ABYMES, GUADELOUPE",Handball,1
LES OLLIERES-SUR-EYRIEUX,Canoe Slalom,1
LESHAN,Hockey,1
"LETHBRIDGE, AB",Rugby Sevens,1
"LEVIS, QC",Short Track Speed Skating,1
LEVOCA,Ice Hockey,1
LEYTON,Athletics,1
LIAONING,Badminton,1
LIBOURNE,3x3 Basketball,1
LICHFIELD,Cycling Track,1
LIEGE,Football,1
LIEGE,Judo,1
LILLE,Cycling BMX Racing,1
LIMA,Beach Volleyball,1
LIMA,Sailing,1
LIMASSOL,Sailing,1
LIMOURS,Equestrian,1
"LINCOLNWOOD, IL",Basketball,1
LINDAU,Football,1
LIPETSK,Fencing,1
LIPTOVSKY MIKULAS,Alpine Skiing,1
LIPTOVSKY MIKULAS,Canoe Slalom,1
LIPTOVSKY MIKULAS,Ice Hockey,1
LISBON,Athletics,1
"LITHGOW, NSW",Hockey,1
"LITTLETON, CO",Football,1
"LITTLETON, CO",Ice Hockey,1
LIVERPOOL,Athletics,1
LIVERPOOL,Taekwondo,1
LIVORNO,Fencing,1
LIVORNO,Taekwondo,1
LJUBLJANA,Alpine Skiing,1
LJUBLJANA,Canoe Slalom,1
LLEIDA,Canoe Sprint,1
LOCARNO,Swimming,1
LODI,Volleyball,1
LODZ,Volleyball,1
LOERENSKOG,Alpine Skiing,1
"LOGANHOLME, QLD",Basketball,1
LOGUMKLOSTER,Handball,1
LOHNE,Football,1
LONDON,Cycling BMX Racing,1
LONDON,Cycling Track,1
LONDON,Football,1
LONDON,Hockey,1
LONDON,Judo,1
LONDON,Rowing,1
"LONDON, ON",Baseball/Softball,1
"LONDON, ON",Rowing,1
"LONDON, ON",Volleyball,1
"LONG BEACH, CA",Snowboard,1
"LONG BEACH, CA",Volleyball,1
LONGCHANG,Shooting,1
"LONGUEUIL, QC",Trampoline Gymnastics,1
LORENSKOG,Snowboard,1
LORIENT,Handball,1
"LOS ANGELES, CA",Baseball/Softball,1
"LOS ANGELES, CA",Equestrian,1
"LOS ANGELES, CA",Fencing,1
"LOS ANGELES, CA",Football,1
LOT-ET-GARONNE,Rugby Sevens,1
LUBECK,Judo,1
LUBLIN,Sport Climbing,1
LUENEN,Rowing,1
LUHANSK,Diving,1
LUOHE,Rowing,1
LUSAKA,Athletics,1
LUZHOU,Cycling BMX Freestyle,1
LVIV,Canoe Sprint,1
LVIV,Karate,1
LVIV,Tennis,1
LVIV,Wrestling,1
LYNGBY,Swimming,1
LYON,Rowing,1
LYON,Taekwondo,1
M?NSTERLINGEN,Sailing,1
MAASTRICHT,Cycling Road,1
MACAE,Swimming,1
MACHATSJKALA (DAGESTAN),Taekwondo,1
"MACKAY, QLD",Basketball,1
MADE,Rowing,1
MADRID,Artistic Swimming,1
MADRID,Canoe Sprint,1
MADRID,Handball,1
MADRID,Sailing,1
MADRID,Shooting,1
MAGDEBURG,Swimming,1
ZAPOROZHYE,Rhythmic Gymnastics,1
MAGNITOGORSK,Ice Hockey,1
"MAGOG, QC",Freestyle Skiing,1
MAICAO,Athletics,1
MAIDENHEAD,Rowing,1
AKITA,Badminton,1
ZILGI,Wrestling,1
MAINZ,Equestrian,1
MAIQUETIA,Weightlifting,1
MAISONS-LAFFITTE,Handball,1
"MAITLAND, NSW",Rowing,1
MAKASSAR,Weightlifting,1
ADANA,Taekwondo,1
MAKUENI COUNTY,Athletics,1
ZYKOVY,Cross-Country Skiing,1
"MALIBU, CA",Skateboarding,1
MALSELV,Alpine Skiing,1
MALUNG,Curling,1
"ABBOTSFORD, BC",Rugby Sevens,1
MANCHESTER,Athletics,1
MANCHESTER,Sailing,1
ZARAGOZA,Football,1
ZAVETY ILYICHA,Volleyball,1
MANNHEIM,Hockey,1
"MAPLE RIDGE, BC",Baseball/Softball,1
"MAPLEWOOD, MN",Ice Hockey,1
MAR DEL PLATA,3x3 Basketball,1
MARBELLA,Boxing,1
ZAVOLZHYE,Rhythmic Gymnastics,1
MARILIA,Athletics,1
MARINO,Athletics,1
"MARKHAM, ON",Football,1
ZEIST,Hockey,1
MARSEILLE,Fencing,1
ZELL AM SEE,Alpine Skiing,1
MARTIGUES,Rugby Sevens,1
MARTINEZ,Hockey,1
MARTORELL,Football,1
"MARYBOROUGH, VIC",Basketball,1
"MARYVILLE, IL",Volleyball,1
MASSY,Handball,1
MASSY,Rugby Sevens,1
MASTERTON,Tennis,1
ZHANGZHOU,Sailing,1
MATANZAS,Wrestling,1
MATARO,Water Polo,1
MATLOCK,Rowing,1
ZHEJIANG,Canoe Sprint,1
"MATSUMOTO, NAGANO",Judo,1
MAYKOP,Handball,1
MAZANDARAN,Wrestling,1
MAZATLAN,Boxing,1
ZHENGZHOU,Boxing,1
ZHENGZHOU,Trampoline Gymnastics,1
ZIBO,Artistic Gymnastics,1
MEISSEN,Canoe Slalom,1
ZIBO,Shooting,1
AKUREYRI,Volleyball,1
AL-ISMAILIYAH,Weightlifting,1
"ALANIA, NORTH OSSETIA",Judo,1
"MELBOURNE, VIC",Snowboard,1
"MELBOURNE, VIC",Swimming,1
"ALANIA, REPUBLIC OF NORTH-OSSETIA",Judo,1
ALBI,Boxing,1
MELNIK,Canoe Slalom,1
ALBISOLA SUPERIORE,Volleyball,1
MENDOZA,Rugby Sevens,1
"ALBURY, NSW",Basketball,1
MERAKER,Cross-Country Skiing,1
ALCALA DE HENARES,Taekwondo,1
"MERCED, CA",Baseball/Softball,1
MERIDA,Football,1
ALELLA,Football,1
"MESA, AZ",Football,1
MESAGNE,Taekwondo,1
MESCHDURETSCHENSKI,Cross-Country Skiing,1
"METAIRIE, LA",Shooting,1
METRO,Weightlifting,1
METTEMANN,Rowing,1
METZ,Equestrian,1
"ALEXANDRIA, VA",Athletics,1
ALFORTVILLE,Handball,1
MEZOTUR,Canoe Sprint,1
"MIAMI BEACH, FL",Baseball/Softball,1
"MIAMI, FL",Athletics,1
ALICANTE,Football,1
"MIAMI, FL",Basketball,1
"MIAMI, FL",Water Polo,1
MIAO-LI,Golf,1
MICHALOVCE,Ice Hockey,1
MIDDLESBROUGH,Cycling Track,1
MIE,Artistic Gymnastics,1
MIKI,Badminton,1
ALMATY,Artistic Gymnastics,1
MILAN,Athletics,1
MILAN,Fencing,1
MILAN,Short Track Speed Skating,1
"MILDURA, VIC",Hockey,1
MILLINGEN AAN DE RIJN,Rowing,1
ALMATY,Boxing,1
MINDELHEIM,Alpine Skiing,1
"MINEOLA, NY",Diving,1
MINERALNYE VODY,3x3 Basketball,1
ALMATY,Judo,1
MINSK,Freestyle Skiing,1
MINSK,Ice Hockey,1
MINSK,Rhythmic Gymnastics,1
MINSK,Rowing,1
MIRANO,Cycling Track,1
ALMATY,Weightlifting,1
ALMERE,Sailing,1
ALMUSSAFES,Football,1
"MISSISSAUGA, ON",Football,1
"MISSISSAUGA, ON",Ice Hockey,1
ALTDORF,Cycling Mountain Bike,1
"ALTON, HAMPSHIRE",Equestrian,1
MITROVICA,Judo,1
MIYAZAKI,Skateboarding,1
MJOLBY,Football,1
ALZANO LOMBARDO,Snowboard,1
MOCACHE,Wrestling,1
MODENA,Artistic Gymnastics,1
AMBALA,Shooting,1
"AMHERST, MA",Diving,1
"AMHERST, NY",Artistic Swimming,1
